ORGANISATION,ORGANISATION,TF-applicability,TF-note,TF-COUNT,TF-pivot-count:collection,TF-pivot-members:collection
"ENS Lyon (F)","","","",1,1,"IMS, CLARIN-D Centre, University of Stuttgart |1|"
"Eberhard-Karls-Universität Tübingen","","","",1,1,"Tübingen Language Resources |1|"
"Ecole Normale Supérieure-Yaoundé, Departement of African Languages and Cultures","","","",9,1,"DoBeS archive : Bakola |9|"
"Edelvivies, Zaragoza","","","",1,1,"CLARINO Bergen Centre |1|"
"Ediciones B, Barcelona","","","",1,1,"CLARINO Bergen Centre |1|"
"Editura GmbH & Co. KG, Berlin","","","",1,1,"Dingler Online |1|"
"Eesti Keele Instituut","","","",76,1,"Center of Estonian Language Resources |76|"
"Eesti Kirjandusmuuseum","","","",5,1,"Center of Estonian Language Resources |5|"
"Eesti-Prantsuse Leksikograafiaühing","","","",2,1,"Center of Estonian Language Resources |2|"
"Ellehauge&Kildemoes","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"Enfance & Culture","","","",1,1,"DBD |1|"
"Erfurt University","","","",62,2,"DoBeS archive : Hoocąk |49| # DoBeS archive : Hoocąk |13|"
"Erhvervs- og Boligstyrelsen","","","",3,1,"CLARIN-DK-UCPH Repository |3|"
"Erhvervs- og Byggestyrelsen","","","",3,1,"CLARIN-DK-UCPH Repository |3|"
"Erhvervs- og Selskabsstyrelsen, OEM","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"Escola Estadual Indígena Fulni-ô Marechal Rondon","","","",18,1,"Donated Corpora : Yaathe |18|"
"Estonian Literary Museum","","","",2,1,"Center of Estonian Language Resources |2|"
"Estonian-French Lexicography Association","","","",2,1,"Center of Estonian Language Resources |2|"
"Etuma Oy","","","",1,0,""
"Europa-Universität Viadrina","","","",49,1,"DoBeS archive : Cashinahua project |49|"
"European Commission - Joint Research Centre","","","",1,0,""
"Evaluation and Language resources Distribution Agency","","","",1,1,"Center of Estonian Language Resources |1|"
"FECONA","","","",52,1,"DoBeS archive : Gente del Centro - People of the Center |52|"
"FECONAPU","","","",119,1,"DoBeS archive : Cashinahua project |119|"
"FIN-CLARIN","","","",179,0,""
"FLSmidt","","","",9,1,"CLARIN-DK-UCPH Repository |9|"
"FSF.hu Foundation","","","",1,0,""
"Fachbereich Germanistik der Universität Salzburg","","","",4,2,"AGD |2| # Archiv für Gesprochenes Deutsch |2|"
"Fachinformationsdienst Nordeuropa","","","",5,3,"Hamburger Zentrum für Sprachkorpora (HZSK) |1| # Hamburger Zentrum fÃ¼r Sprachkorpora (HZSK) |1| # Hamburger Zentrum für Sprachkorpora (HZSK) |3|"
"Faculdade de Letra, Universidade Federal de Alagoas Av. Lourival de Melo Mota, s/n Tabuleiro dos Martins Maceió - AL 57072-970 UFAL / FALE Brasil","","","",346,1,"Donated Corpora : NURC |346|"
"Facultad de Filosofía y Letras - Universidad de Buenos Aires","","","",33,1,"DoBeS archive : Chaco languages |33|"
"Facultad de Filosofía y Letras Universidad de Buenos Aires","","","",7,1,"DoBeS archive : Chaco languages |7|"
"Facultad de Filosofía y Letras, Universidad de Buenos Aires","","","",1,1,"DoBeS archive : Chaco languages |1|"
"Faculty of Arts, Institute of the Czech National Corpus, Charles University in Prague","","","",1,1,"LINDAT / CLARIN Data & Tools |1|"
"Faculty of Arts, University of Ljubljana","","","",3,1,"CLARIN.SI data & tools |3|"
